email,first_name,last_name,dept_code,employee_id,designation,username,password,qualification,experience_years,phone_number
dinesh.sen17752145720@college.edu,Dinesh,Sen,3,EMP40000,Assistant Professor,dinesh.sen17752145720,EduTrack@123,M.Tech,8,9000000127
ajay.bhat17752145721@college.edu,Ajay,Bhat,2,EMP40001,Professor,ajay.bhat17752145721,EduTrack@123,M.Sc,9,9000000128
vamsi.banerjee17752145722@college.edu,Vamsi,Banerjee,4,EMP40002,Associate Professor,vamsi.banerjee17752145722,EduTrack@123,PhD,10,9000000129
rohan.mehta17752145723@college.edu,Rohan,Mehta,5,EMP40003,Associate Professor,rohan.mehta17752145723,EduTrack@123,M.Tech,11,9000000130
siddharth.nag17752145724@college.edu,Siddharth,Nag,2,EMP40004,Assistant Professor,siddharth.nag17752145724,EduTrack@123,M.Sc,12,9000000131
dinesh.tripathi17752145725@college.edu,Dinesh,Tripathi,4,EMP40005,Assistant Professor,dinesh.tripathi17752145725,EduTrack@123,PhD,13,9000000132
aditya.das17752145726@college.edu,Aditya,Das,2,EMP40006,Associate Professor,aditya.das17752145726,EduTrack@123,M.Tech,14,9000000133
rahul.singh17752145727@college.edu,Rahul,Singh,5,EMP40007,Assistant Professor,rahul.singh17752145727,EduTrack@123,M.Sc,15,9000000134
rahul.saxena17752145728@college.edu,Rahul,Saxena,4,EMP40008,Professor,rahul.saxena17752145728,EduTrack@123,PhD,16,9000000135
aditya.ghosh17752145729@college.edu,Aditya,Ghosh,2,EMP40009,Associate Professor,aditya.ghosh17752145729,EduTrack@123,M.Tech,17,9000000136
aarav.bhatt177521457210@college.edu,Aarav,Bhatt,5,EMP400010,Professor,aarav.bhatt177521457210,EduTrack@123,M.Sc,18,9000000137
dinesh.bhatt177521457211@college.edu,Dinesh,Bhatt,4,EMP400011,Associate Professor,dinesh.bhatt177521457211,EduTrack@123,PhD,19,9000000138
yash.dubey177521457212@college.edu,Yash,Dubey,3,EMP400012,Assistant Professor,yash.dubey177521457212,EduTrack@123,M.Tech,20,9000000139
