email,first_name,last_name,dept_code,admission_year,current_semester,username,password
satish.bhat17752150030@college.edu,Satish,Bhat,01,2024,1,satish.bhat17752150030,edutrack@123
rohan.bhatt17752150031@college.edu,Rohan,Bhatt,05,2025,3,rohan.bhatt17752150031,edutrack@123
lokesh.rao17752150032@college.edu,Lokesh,Rao,02,2026,5,lokesh.rao17752150032,edutrack@123
rahul.seth17752150033@college.edu,Rahul,Seth,05,2024,1,rahul.seth17752150033,edutrack@123
vivek.verma17752150034@college.edu,Vivek,Verma,01,2025,3,vivek.verma17752150034,edutrack@123
krishna.jain17752150035@college.edu,Krishna,Jain,01,2026,5,krishna.jain17752150035,edutrack@123
ritvik.kohli17752150036@college.edu,Ritvik,Kohli,02,2024,1,ritvik.kohli17752150036,edutrack@123
mahesh.pandey17752150037@college.edu,Mahesh,Pandey,02,2025,3,mahesh.pandey17752150037,edutrack@123
abhinav.reddy17752150038@college.edu,Abhinav,Reddy,04,2026,5,abhinav.reddy17752150038,edutrack@123
naveen.sharma17752150039@college.edu,Naveen,Sharma,05,2024,1,naveen.sharma17752150039,edutrack@123
chaitanya.singh177521500310@college.edu,Chaitanya,Singh,03,2025,3,chaitanya.singh177521500310,edutrack@123
shashank.seth177521500311@college.edu,Shashank,Seth,03,2026,5,shashank.seth177521500311,edutrack@123
krishna.kaul177521500312@college.edu,Krishna,Kaul,01,2024,1,krishna.kaul177521500312,edutrack@123
madhav.mehta177521500313@college.edu,Madhav,Mehta,01,2025,3,madhav.mehta177521500313,edutrack@123
naresh.dutta177521500314@college.edu,Naresh,Dutta,04,2026,5,naresh.dutta177521500314,edutrack@123
aryan.das177521500315@college.edu,Aryan,Das,02,2024,1,aryan.das177521500315,edutrack@123
rohan.bose177521500316@college.edu,Rohan,Bose,05,2025,3,rohan.bose177521500316,edutrack@123
lokesh.iyer177521500317@college.edu,Lokesh,Iyer,02,2026,5,lokesh.iyer177521500317,edutrack@123
sandeep.malhotra177521500318@college.edu,Sandeep,Malhotra,05,2024,1,sandeep.malhotra177521500318,edutrack@123
yash.pandey177521500319@college.edu,Yash,Pandey,01,2025,3,yash.pandey177521500319,edutrack@123
gokul.patel177521500320@college.edu,Gokul,Patel,05,2026,5,gokul.patel177521500320,edutrack@123
aarav.naidu177521500321@college.edu,Aarav,Naidu,03,2024,1,aarav.naidu177521500321,edutrack@123
naresh.chatterjee177521500322@college.edu,Naresh,Chatterjee,05,2025,3,naresh.chatterjee177521500322,edutrack@123
kiran.menon177521500323@college.edu,Kiran,Menon,05,2026,5,kiran.menon177521500323,edutrack@123
ritvik.ghosh177521500324@college.edu,Ritvik,Ghosh,04,2024,1,ritvik.ghosh177521500324,edutrack@123
tarun.malhotra177521500325@college.edu,Tarun,Malhotra,02,2025,3,tarun.malhotra177521500325,edutrack@123
krishna.naidu177521500326@college.edu,Krishna,Naidu,04,2026,5,krishna.naidu177521500326,edutrack@123
dev.kumar177521500327@college.edu,Dev,Kumar,03,2024,1,dev.kumar177521500327,edutrack@123
madhav.roy177521500328@college.edu,Madhav,Roy,03,2025,3,madhav.roy177521500328,edutrack@123
manoj.chatterjee177521500329@college.edu,Manoj,Chatterjee,03,2026,5,manoj.chatterjee177521500329,edutrack@123
vinay.chauhan177521500330@college.edu,Vinay,Chauhan,04,2024,1,vinay.chauhan177521500330,edutrack@123
dinesh.yadav177521500331@college.edu,Dinesh,Yadav,05,2025,3,dinesh.yadav177521500331,edutrack@123
krishna.joshi177521500332@college.edu,Krishna,Joshi,05,2026,5,krishna.joshi177521500332,edutrack@123
karthik.saini177521500333@college.edu,Karthik,Saini,05,2024,1,karthik.saini177521500333,edutrack@123
deepak.agarwal177521500334@college.edu,Deepak,Agarwal,01,2025,3,deepak.agarwal177521500334,edutrack@123
nikhil.jain177521500335@college.edu,Nikhil,Jain,01,2026,5,nikhil.jain177521500335,edutrack@123
naresh.kumar177521500336@college.edu,Naresh,Kumar,03,2024,1,naresh.kumar177521500336,edutrack@123
yash.nair177521500337@college.edu,Yash,Nair,01,2025,3,yash.nair177521500337,edutrack@123
siddharth.nag177521500338@college.edu,Siddharth,Nag,03,2026,5,siddharth.nag177521500338,edutrack@123
ritvik.ghosh177521500339@college.edu,Ritvik,Ghosh,04,2024,1,ritvik.ghosh177521500339,edutrack@123
sandeep.thakur177521500340@college.edu,Sandeep,Thakur,04,2025,3,sandeep.thakur177521500340,edutrack@123
